keyword,text,likes,comments_count,shares,sentiment_score,sentiment_label
电影,西尔莎·罗南和杰克·劳登出席英国独立电影奖。 ​,0,0,0,0.9988794045766403,positive
电影,张杰超话#电影张杰曜北斗巡回演唱会定档#✨#电影张杰曜北斗巡回演唱会#永远有多远 下次是何时与心爱的人在这个冬日走进电影院回望过去那些夏天我们的热烈过往然后再期待 未Live已来和将抵达的世界L北斗星空-北京的微博视频​,0,0,0,0.9959661031148356,positive
电影,大年廿九賀歲電影《臨時決鬥》已鐵定於1月28日，即是大年廿九上映，而首個預告片亦已曝光，我們一起打擂台上對決，熱熱鬧鬧過新年! ​,0,0,0,9.036986328547769e-05,negative
电影,#刺猬索尼克3内地定档#速度担当索尼克、脑力担当塔尔斯、力量担当纳克鲁斯，可爱无敌的索尼克小队终于要在1月10日和大家见面了！还有好莱坞喜剧明星金·凯瑞（电影《楚门的世界》男主）饰演万年死对头蛋头博士，以及重磅登场的新敌人夏特......表面瞧着是集体冒险的热血番，实则是笑点层出不穷的合家欢 ​展开c,0,0,0,0.999999999999841,positive
电影,海南岛国际电影节 开幕式 cutL我意写春诗的微博视频​,0,0,0,0.9974457197605269,positive
电影,王源超话携新作#电影孤星计划#亮相家乡重庆路演！乡音召唤属于他也属于一民的来路，火光照亮百年来每一个年轻生命的归途。@TFBOYS-王源​,0,0,0,0.9995926304730847,positive
电影,#王一博热烈中委中国电影周展映##热烈中委中国电影周展映#庆祝中委建交50周年， 2024委内瑞拉“中国电影周”开幕！王一博主演的《热烈》将在该电影周展映！电影《热烈》不愧为外交名片，其凭借独特的魅力和深刻的内涵，作为“中国名片”已经走过了众多的国家，在世界各地大放异彩，展现了中国电影的独 ​展开c,0,0,0,0.9999999999437661,positive
电影,#何炅包场王源新片#何老师连包5场支持的电影，是在刚刚过去的这个周末全国上映的青春谍战大片《孤星计划》，由王源首挑大梁领衔主演，讲述了上世纪20年代中后期，一群上海大学的学子勇敢承担起一项重任，掩护一位重要人物秘密离开上海的计划。该片预售总票房近4300万，上映36小时后总票房已突破5000万 ​展开c,0,0,0,0.9999999983177827,positive
电影,【期待！#电影小小的我12月31日上映#】9日，电影《小小的我》官宣于12月31日上映。该电影以温情、平等的视角描绘特殊群体的内心世界和外在挑战。曾主演《送你一朵小红花》《奇迹·笨小孩》的新生代男演员@TFBOYS-易烊千玺，在片中饰演“刘春和”。转发期待！@电影小小的我L新华社的微博视频​,0,0,0,0.9999999999997671,positive
电影,听说我和马东锡、宋小宝三个人在一起演戏叫做“奇咖贺岁”…？#电影窗前明月咣定档#​,0,0,0,0.9982061471307675,positive
